date,label,sst_c,MMM,SSTA,HotSpot,DHW,risk_tier,chlor_a,kd490_proxy,CSI
2005-12-15,Havelock,27.902124023437523,30.39821597828587,-0.54925537109375,-2.496091954848346,0.0,No Stress,0.7741314172744751,0.9705542532596442,0.2449249075400557
2005-12-22,Havelock,27.997369384765648,30.39821597828587,-0.2703056335449219,-2.400846593520221,0.0,No Stress,0.573890028097075,1.0762491428849297,0.19406884272753103
2005-12-29,Havelock,27.934747314453148,30.39821597828587,-0.12665939331054688,-2.463468663832721,0.0,No Stress,0.7079640053106323,0.9573240935939521,0.22027490783114187
2006-01-05,Havelock,27.850701904296898,30.39821597828587,-0.09957313537597656,-2.547514073988971,0.0,No Stress,0.5578553820559616,1.0031490115828194,0.17670864570617736
2006-01-12,Havelock,27.840844726562523,30.39821597828587,-0.010200500488277697,-2.557371251723346,0.0,No Stress,0.3303316671882519,1.1478521202089016,0.18700018844626576
2006-01-19,Havelock,27.794671630859398,30.39821597828587,-0.029903411865230822,-2.603544347426471,0.0,No Stress,0.7687745131048046,0.9441103207504737,0.23879568131992762
2006-01-26,Havelock,27.922509765625023,30.39821597828587,0.09460067749023793,-2.475706212660846,0.0,No Stress,0.6078723686213574,1.0050875112786009,0.19402849930386817
2006-02-02,Havelock,27.939172363281273,30.39821597828587,0.11351203918457031,-2.459043615004596,0.0,No Stress,0.6470973901656453,1.0307119484816827,0.21153820818789493
2006-02-09,Havelock,27.980767822265648,30.39821597828587,-0.027210235595703125,-2.417448156020221,0.0,No Stress,0.4221635843051299,1.118930829611279,0.18228853030089387
2006-02-16,Havelock,28.131433105468773,30.39821597828587,-0.08125686645507457,-2.266782872817096,0.0,No Stress,0.6854486303623022,0.9993289035557325,0.21946359393397408
2006-02-23,Havelock,28.249627685546898,30.39821597828587,-0.09432411193847301,-2.148588292738971,0.0,No Stress,0.6096665333013167,1.031831493143333,0.19899539922942275
2006-03-02,Havelock,28.777520751953148,30.39821597828587,0.18832588195801492,-1.620695226332721,0.0,No Stress,0.7517085737280186,0.962110814397731,0.23592636870481398
2006-03-09,Havelock,29.223962402343716,30.39821597828587,0.3928928375243643,-1.1742535759421528,0.0,No Stress,0.6173147934811646,1.038069660083214,0.20261182265742075
2006-03-16,Havelock,29.387048339843716,30.39821597828587,0.28802490234370026,-1.0111676384421528,0.0,No Stress,0.7006599711688611,1.0211209000118664,0.22818512648949085
2006-03-23,Havelock,29.325189208984398,30.39821597828587,-0.0032005310058522696,-1.073026769301471,0.0,No Stress,,,
2006-03-30,Havelock,29.920953369140648,30.39821597828587,0.25808525085449574,-0.477262609145221,0.0,No Stress,0.646232836436548,1.0174152284702287,0.2090780794501935
2006-04-06,Havelock,30.312280273437523,30.39821597828587,0.2901153564453196,-0.085935704848346,0.0,No Stress,,,
2006-04-13,Havelock,30.451928710937523,30.39821597828587,0.16845703125,0.053712732651653994,0.053712732651653994,Watch,,,
2006-04-20,Havelock,30.357995605468773,30.39821597828587,-0.2104930877685547,-0.040220372817096006,0.053712732651653994,No Stress,,,
2006-04-27,Havelock,29.674707031250023,30.39821597828587,-0.9748039245605433,-0.723508947035846,0.053712732651653994,No Stress,0.6945184279182676,0.9927927859760527,0.23317487863110536
2006-05-04,Havelock,30.141381835937523,30.39821597828587,-0.42609596252440696,-0.256834142348346,0.053712732651653994,No Stress,0.822628459172072,0.9834558752977655,0.2752067555777814
2006-05-11,Havelock,30.467889404296898,30.39821597828587,-0.10018730163573508,0.069673426011029,0.12338615866268299,Watch,0.4466218869142894,1.0895394309264694,0.20436013021937732
2006-05-18,Havelock,29.994470214843716,30.39821597828587,-0.07542037963872161,-0.40374576344215285,0.12338615866268299,No Stress,,,
2006-05-25,Havelock,29.283593750000023,30.39821597828587,-0.3760719299316406,-1.114622228285846,0.12338615866268299,No Stress,0.7109321295560063,1.0297249058886515,0.25993885569646813
2006-06-01,Havelock,29.604638671875023,30.39821597828587,0.0004978179931640625,-0.793577306410846,0.12338615866268299,No Stress,0.9588198187185432,0.9191071775077109,0.32619102045154885
2006-06-08,Havelock,29.052301025390648,30.39821597828587,-0.41509437561035156,-1.345914952895221,0.12338615866268299,No Stress,0.7215307819775433,1.0109713289307427,0.2604868271328301
2006-06-15,Havelock,29.234155273437523,30.39821597828587,-0.029291152954101562,-1.164060704848346,0.12338615866268299,No Stress,,,
2006-06-22,Havelock,28.731439208984398,30.39821597828587,-0.14436912536619673,-1.666776769301471,0.12338615866268299,No Stress,0.5213525295257568,1.1368806441000432,0.2129454220802945
2006-06-29,Havelock,28.842523193359398,30.39821597828587,0.17057228088379262,-1.555692784926471,0.12338615866268299,No Stress,,,
2006-07-06,Havelock,28.877648925781273,30.39821597828587,0.2818527221679723,-1.520567052504596,0.069673426011029,No Stress,0.621110380809998,1.0939812193836296,0.2281780770066476
2006-07-13,Havelock,29.030603027343716,30.39821597828587,0.3022823333739737,-1.3676129509421528,0.069673426011029,No Stress,,,
2006-07-20,Havelock,29.113793945312523,30.39821597828587,0.42446327209472656,-1.284422032973346,0.069673426011029,No Stress,0.5475714770787654,1.1227635072118416,0.20786640446936894
2006-07-27,Havelock,28.435632324218773,30.39821597828587,-0.1480808258056605,-1.962583654067096,0.069673426011029,No Stress,0.4705936014652252,1.1079653454971916,0.19566926729547865
2006-08-03,Havelock,28.324945068359398,30.39821597828587,-0.1234664916992152,-2.073270909926471,0.0,No Stress,,,
2006-08-10,Havelock,28.032037353515648,30.39821597828587,-0.32465744018553977,-2.366178624770221,0.0,No Stress,,,
2006-08-17,Havelock,28.183160400390648,30.39821597828587,-0.2171478271484375,-2.215055577895221,0.0,No Stress,,,
2006-08-24,Havelock,28.322717285156273,30.39821597828587,-0.25325965881347656,-2.075498693129596,0.0,No Stress,0.5883247091874971,1.1003118433317176,0.20289626533356894
2006-08-31,Havelock,28.265740966796898,30.39821597828587,-0.3519401550292933,-2.132475011488971,0.0,No Stress,0.5559879883891491,1.0587787221411964,0.18513660700419238
2006-09-07,Havelock,28.140588378906273,30.39821597828587,-0.4977378845214808,-2.257627599379596,0.0,No Stress,0.3158425403254054,1.1647331936958174,0.189750337065283
2006-09-14,Havelock,28.329644775390648,30.39821597828587,-0.14211654663085938,-2.068571202895221,0.0,No Stress,0.7776853199680477,1.0202687060279252,0.25423224901058916
2006-09-21,Havelock,28.225122070312523,30.39821597828587,-0.32851028442381747,-2.173093907973346,0.0,No Stress,,,
2006-09-28,Havelock,28.267419433593716,30.39821597828587,-0.4647712707519993,-2.130796544692153,0.0,No Stress,,,
2006-10-05,Havelock,28.376306152343716,30.39821597828587,-0.39690208435063923,-2.021909825942153,0.0,No Stress,,,
2006-10-12,Havelock,28.617272949218773,30.39821597828587,-0.2817401885986257,-1.780943029067096,0.0,No Stress,0.6124159042950562,0.9883060034291526,0.1928392163112137
2006-10-19,Havelock,29.284356689453148,30.39821597828587,0.2503204345703125,-1.113859288832721,0.0,No Stress,0.5508256184367939,1.0515649281582593,0.18220635786462835
2006-10-26,Havelock,29.277276611328148,30.39821597828587,0.09918594360351918,-1.120939366957721,0.0,No Stress,0.5317214597650125,1.0368677455345399,0.17331724016501887
2006-11-02,Havelock,29.151116943359398,30.39821597828587,-0.017663955688476562,-1.247099034926471,0.0,No Stress,0.754052232849142,0.9767705963524425,0.23911140284429405
2006-11-09,Havelock,29.338403320312523,30.39821597828587,0.37242698669434304,-1.059812657973346,0.0,No Stress,0.6183812683131418,1.0355099422187692,0.20255737557197168
2006-11-16,Havelock,29.253564453125023,30.39821597828587,0.3305244445800817,-1.144651525160846,0.0,No Stress,0.5901818365761728,1.025059228291826,0.1912679849514142
2006-11-23,Havelock,29.129571533203148,30.39821597828587,0.22213363647460938,-1.268644445082721,0.0,No Stress,0.6264894631215011,0.9869245606830013,0.19739868467242858
2006-11-30,Havelock,28.768853759765648,30.39821597828587,0.06622505187988281,-1.629362218520221,0.0,No Stress,0.5589698371201627,1.0160264873088758,0.17918543185842584
2006-12-07,Havelock,28.955834960937523,30.39821597828587,0.36353111267089844,-1.442381017348346,0.0,No Stress,0.8104102171804479,0.9418557864387724,0.25258308826141224
2006-12-14,Havelock,28.534173583984398,30.39821597828587,0.082794189453125,-1.864042394301471,0.0,No Stress,0.2677279412746429,1.2085217279974587,0.19688406450458276
2006-12-21,Havelock,28.120538330078148,30.39821597828587,-0.14713668823242188,-2.277677648207721,0.0,No Stress,0.7880035677781473,0.9487715245731788,0.24609226656464045
2006-12-28,Havelock,27.617059326171898,30.39821597828587,-0.4443473815917969,-2.781156652113971,0.0,No Stress,,,
2007-01-04,Havelock,27.351098632812523,30.39821597828587,-0.5991764068603516,-3.047117345473346,0.0,No Stress,0.480035874575049,1.0929129890370373,0.17804988230374363
2007-01-11,Havelock,27.445306396484398,30.39821597828587,-0.4057388305664027,-2.952909581801471,0.0,No Stress,0.6334858639511239,0.9990291587759569,0.20174921714932956
2007-01-18,Havelock,27.282342529296898,30.39821597828587,-0.5422325134277308,-3.115873448988971,0.0,No Stress,0.4579355715294005,1.0585673619778457,0.17245452849527126
2007-01-25,Havelock,27.311547851562523,30.39821597828587,-0.5163612365722621,-3.086668126723346,0.0,No Stress,0.7321597808549385,0.9599679759307136,0.22893135832175907
2007-02-01,Havelock,26.985528564453148,30.39821597828587,-0.8401317596435547,-3.412687413832721,0.0,No Stress,0.4593394290646787,1.1472911905693761,0.18690880563967452
2007-02-08,Havelock,27.478112792968773,30.39821597828587,-0.5298652648925781,-2.920103185317096,0.0,No Stress,0.5285181186683886,1.0239715864961572,0.17012726120967217
2007-02-15,Havelock,27.890527343750023,30.39821597828587,-0.3221626281738246,-2.507688634535846,0.0,No Stress,0.7643377412089987,0.9839483922145089,0.24377747738804487
2007-02-22,Havelock,27.921990966796898,30.39821597828587,-0.421960830688473,-2.476225011488971,0.0,No Stress,0.7039588033070976,0.9934465971345124,0.2247981079228431
2007-03-01,Havelock,27.952966308593716,30.39821597828587,-0.6362285614014169,-2.445249669692153,0.0,No Stress,0.829385622453765,0.9682453091393407,0.2633332700439273
2007-03-08,Havelock,27.899865722656273,30.39821597828587,-0.9312038421630788,-2.498350255629596,0.0,No Stress,0.7954477265583031,1.0049032851128268,0.2577676243661388
2007-03-15,Havelock,28.114953613281273,30.39821597828587,-0.9840698242187429,-2.283262365004596,0.0,No Stress,0.7618109528578072,0.9725468568020148,0.24106099680213938
2007-03-22,Havelock,28.366510009765648,30.39821597828587,-0.9618797302246023,-2.031705968520221,0.0,No Stress,0.7956853840608906,0.9816776541721076,0.25406465933241495
2007-03-29,Havelock,28.967980957031273,30.39821597828587,-0.6948871612548793,-1.430235021254596,0.0,No Stress,0.4483494932687335,1.065896343796693,0.1736485159062927
2007-04-05,Havelock,29.427148437500023,30.39821597828587,-0.5950164794921804,-0.971067540785846,0.0,No Stress,0.4573462819363794,1.0945795829069322,0.17832139233735061
2007-04-12,Havelock,30.023004150390648,30.39821597828587,-0.260467529296875,-0.375211827895221,0.0,No Stress,0.6576084832567445,1.081573791018602,0.2233976787750109
2007-04-19,Havelock,30.477746582031273,30.39821597828587,-0.09074211120605469,0.079530603745404,0.079530603745404,Watch,0.4762733285370553,1.0496402130174416,0.18831313904990918
2007-04-26,Havelock,30.413751220703148,30.39821597828587,-0.23575973510741832,0.015535242417278994,0.09506584616268299,Watch,0.3806278109550476,1.205697584761221,0.21711879069796275
2007-05-03,Havelock,30.005303955078148,30.39821597828587,-0.562173843383782,-0.392912023207721,0.09506584616268299,No Stress,0.9899633371071096,0.9346533540884494,0.333146387945083
2007-05-10,Havelock,29.740411376953148,30.39821597828587,-0.8276653289794851,-0.657804601332721,0.09506584616268299,No Stress,,,
2007-05-17,Havelock,29.277185058593716,30.39821597828587,-0.7927055358887216,-1.1210309196921528,0.09506584616268299,No Stress,1.0158784510398722,0.9927893356975287,0.3514277459665371
2007-05-24,Havelock,29.553338623046898,30.39821597828587,-0.10632705688476562,-0.844877355238971,0.09506584616268299,No Stress,0.6626534321133836,1.055322991821525,0.24153100320866067
2007-05-31,Havelock,29.854211425781273,30.39821597828587,0.25007057189941406,-0.544004552504596,0.09506584616268299,No Stress,0.5953243851150055,1.010311853527513,0.21130854885122205
